

Starting up round ID . 11:46:41
---------------------
[11:57:03]ATTACK: Aaliyah Rhinehart(arkadiusz123) has thrown owl hardsuit with    (128,198,2)
[12:35:28]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (147,117,2)
[12:35:28]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (147,117,2)
[12:35:29]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (147,117,2)
[12:35:29]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (147,117,2)
[12:35:30]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (148,118,2)
[12:35:31]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 76.5) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 53) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 29.5) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 6) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -17.5) (148,118,2)
[12:35:35]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: -41) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -64.5) (148,118,2)
[12:35:38]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -88) (148,118,2)
[12:35:39]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -100) (148,118,2)
[12:35:39]ATTACK: Jaydon Synder(borksin) shot Unknown with The buckshot pellet (NEWHP: -100) (148,118,2)
[12:35:39]ATTACK: Jaydon Synder(borksin) shot Unknown with The buckshot pellet (NEWHP: -100) (148,118,2)
[12:36:02]ATTACK: Gavin(alcaroisafrick) fired at floor with The bolt of resurrection Departure Lounge   (147,117,2)
[12:36:03]ATTACK: Gavin(alcaroisafrick) shot Jaydon Synder(borksin) with The bolt of resurrection (NEWHP: 100) (146,118,2)
[12:36:05]ATTACK: Gavin(alcaroisafrick) fired at floor with The bolt of resurrection Departure Lounge   (147,114,2)
[12:36:05]ATTACK: Gavin(alcaroisafrick) shot Unknown(bundeswer) with The bolt of resurrection (NEWHP: 100) (147,114,2)
[12:36:08]ATTACK: Gavin(alcaroisafrick) has thrown staff of healing with    (148,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) fired at Unknown(bundeswer) with The buckshot pellet Departure Lounge (NEWHP: 100) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 76.5) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 53) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 29.5) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: 6) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -17.5) (144,117,2)
[12:36:13]ATTACK: Jaydon Synder(borksin) shot Unknown(bundeswer) with The buckshot pellet (NEWHP: -41) (144,117,2)
[12:37:10]ATTACK: Unknown(bundeswer) attacked Unknown(bundeswer) with staff of healing(INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 86) (147,116,2)
[12:37:13]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (146,112,2)
[12:37:14]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:14]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (146,112,2)
[12:37:14]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:14]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (146,112,2)
[12:37:14]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:15]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (146,112,2)
[12:37:15]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:16]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (146,113,2)
[12:37:16]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:17]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (146,113,2)
[12:37:17]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:17]ATTACK: Unknown(bundeswer) fired at Gavin(alcaroisafrick) with The bolt of resurrection Departure Lounge (NEWHP: 100) (146,112,2)
[12:37:18]ATTACK: Unknown(bundeswer) shot Gavin(alcaroisafrick) with The bolt of resurrection (NEWHP: 100) (146,112,2)
[12:37:24]ATTACK: Unknown(bundeswer) fired at floor with The bolt of resurrection Departure Lounge   (146,113,2)
[12:37:33]ATTACK: Unknown(bundeswer) fired at Jaydon Synder(borksin) with The bolt of resurrection Departure Lounge (NEWHP: 100) (148,116,2)
[12:37:33]ATTACK: Unknown(bundeswer) shot Jaydon Synder(borksin) with The bolt of resurrection (NEWHP: 100) (148,116,2)
[12:38:16]ATTACK: Unknown(bundeswer) disarmed Gavin(alcaroisafrick) with  pushing them to the ground (NEWHP: 100) (143,120,2)
[12:38:16]ATTACK: Unknown(bundeswer) disarmed Gavin(alcaroisafrick) with  (NEWHP: 100) (143,120,2)
[12:38:31]ATTACK: Gavin(alcaroisafrick) grabbed Jaydon Synder(borksin) with passive grab (NEWHP: 100) (148,117,2)
[12:38:31]ATTACK: Gavin(alcaroisafrick) cinched Jaydon Synder(borksin) with  (NEWHP: 100) (148,117,2)
